brand,model,row_count,min_price_lkr,median_price_lkr,max_price_lkr,std_price_lkr,min_year,max_year,price_range_lkr,std_to_median_ratio,range_to_median_ratio
MERCEDES-BENZ,G-CLASS,20,95456000.0,126106500.0,169237000.0,26434116.565081496,2024,2025,73781000.0,0.20961739930203038,0.585068969482144
LAND ROVER,RANGE ROVER EVOQUE,40,12621000.0,18764000.0,24908000.0,3892167.157104914,2010,2023,12287000.0,0.2074273692765356,0.6548177360903858
TOYOTA,CARINA AA60,7,550000.0,750000.0,975000.0,155506.08623826544,1983,1987,425000.0,0.20734144831768725,0.5666666666666667
TOYOTA,AA60,5,575000.0,675000.0,875000.0,137386.31664034087,1982,1986,300000.0,0.2035352839116161,0.4444444444444444
LAND ROVER,DISCOVERY SPORT,29,25746000.0,35844000.0,48919000.0,7226533.044097871,2010,2023,23173000.0,0.20161067526218812,0.6464959267938846
TOYOTA,110,31,1650000.0,3245416.667,4500000.0,653340.8577689977,1996,2008,2850000.0,0.2013118575535428,0.8781615097313482
MICRO,PANDA LC 1.0,9,2175000.0,2580000.0,3495000.0,517874.2608008242,2012,2018,1320000.0,0.20072645767473807,0.5116279069767442
LAND ROVER,SERIES III,21,25640000.0,31690000.0,44740000.0,6359071.473100456,1980,1994,19100000.0,0.20066492499528105,0.602713789839066
TOYOTA,AVANZA,15,3793748.75,6250000.0,9000000.0,1246853.822067497,2008,2012,5206251.25,0.19949661153079953,0.8330002
TOYOTA,ALLION 260 G,6,8675000.0,8865000.0,12400000.0,1767598.4178162944,2007,2013,3725000.0,0.19939068446884314,0.42019176536943037
SUZUKI,ALTO JAPAN,117,1695000.0,5150000.0,5600000.0,1023791.0343650118,1998,2018,3905000.0,0.19879437560485666,0.7582524271844661
NISSAN,N16,39,2262500.0,3690000.0,5382500.0,721447.619534084,1999,2011,3120000.0,0.19551426003633712,0.8455284552845529
LAND ROVER,DEFENDER 90 CLASSIC,26,46040000.0,62165000.0,83820000.0,12137222.600806927,1980,1994,37780000.0,0.19524205904941572,0.6077374728545001
NISSAN,PRESEA,9,1550000.0,2550000.0,3100000.0,493041.86209466815,1994,2002,1550000.0,0.19334974984104633,0.6078431372549019
SUZUKI,STINGRAY,25,10031000.0,86870000.0,97700000.0,16670703.763588786,2023,2025,87669000.0,0.19190403779888093,1.0091976516634051
NISSAN,MARCH,31,1806250.0,2850000.0,3636250.0,542311.6270430211,1988,2020,1830000.0,0.19028478141860392,0.6421052631578947
NISSAN,BLUEBIRD SYLPHY,11,4275000.0,6475000.0,7500000.0,1232003.1729593144,2002,2011,3225000.0,0.19027076030259682,0.4980694980694981
CHERY,QQ,39,857500.0,1285000.0,1837500.0,241899.13681540452,2006,2017,980000.0,0.18824835549836927,0.7626459143968871
LAND ROVER,RANGE ROVER CLASSIC,26,35590000.0,43365000.0,65310000.0,8075089.835175449,1980,1995,29720000.0,0.1862121488568073,0.6853453245705061
NISSAN,LEAF,27,3975000.0,5350000.0,7423750.0,993913.7984439086,2012,2018,3448750.0,0.18577828008297356,0.6446261682242991
TOYOTA,AXIO G GRADE,38,7350000.0,9450000.0,12200000.0,1747941.4629933278,2006,2016,4850000.0,0.18496735058130453,0.5132275132275133
SUZUKI,WAGON R CUSTOM ZX,25,10258000.0,92570000.0,98770000.0,17106177.582772058,2023,2025,88512000.0,0.18479180709486936,0.9561629037485146
SUZUKI,WAGON R,203,3743750.0,5800000.0,7600000.0,1067883.4561984665,2002,2020,3856250.0,0.18411783727559766,0.6648706896551724
SUZUKI,ALTO K10 VXI,7,2840000.0,2875000.0,4068750.0,517165.6816358804,2011,2016,1228750.0,0.17988371535161057,0.4273913043478261
KIA,PICANTO,32,3393125.0,5593235.294,6875000.0,989910.727507134,2004,2017,3481875.0,0.17698356594599826,0.6225153809880111
